,Date Of Upload,Author,Vertical,Headline,Description
0,"August 01, 2015 18:29 IST",Dennis S. Jesudasan,Other Sports,HC comes to the aid of Santhi,The 34-year-old was stripped of her Asian Games medal after failing the gender test.
1,"August 01, 2015 02:23 IST","CHENNAI:,",Other Sports,Badminton Premier League from tomorrow,No Description
2,"August 01, 2015 00:26 IST",Agencies,Other Sports,FINA World Championships: Russians dazzle in the team free event,No Description
3,"August 01, 2015 00:25 IST",PTI,Other Sports,"ProKabaddi: Bulls, Pirates post wins",No Description
4,"August 01, 2015 00:24 IST",PTI,Other Sports,"Victoria Open squash: Mahesh, Joshna move up",No Description
5,"August 01, 2015 00:14 IST",Special Correspondent,Other Sports,FMSCI Indian Rally: Lohit on top after day one,No Description
6,"August 01, 2015 00:13 IST",Rakesh Rao,Other Sports,Table tennis: Kotian upsets Yadav; Balgu stuns Mondal,No Description
7,"August 01, 2015 19:11 IST",Racing Correspondent,Races,Zervan pilots Flying Show to victory,No Description
8,"August 01, 2015 19:11 IST",Racing Correspondent,Races,Tintinnabulation appeals most,No Description
9,"August 01, 2015 19:11 IST",Racing Correspondent,Races,Bullrun may make amends,No Description
10,"August 01, 2015 19:10 IST",Racing Correspondent,Races,Arrogant Approach excels,No Description
11,"March 29, 2016 12:31 IST",Pradeep Sebastian,Pradeep Sebastian,The folio obsession,Mays' book on Henry Folger’s obsessive hunt for multiple copies of Shakespeare’s First Folio is irresistible.
12,"August 01, 2015 17:22 IST",PTI,Tennis,Sania Mirza recommended for Rajiv Gandhi Khel Ratna,She won her first women’s doubles Grand Slam title with Swiss partner Martina Hingis in June.
13,"August 01, 2015 09:14 IST",AP,Tennis,John Isner advances to Atlanta Open semifinals,Isner is trying to reach the Atlanta final for the fifth time in six years. He lost in the finals in 2010 and 2011.
14,"August 01, 2015 00:05 IST","NEW DELHI:,",Tennis,ATP Challenger: Smooth sailing for Yuki Bhambri,No Description
15,"March 29, 2016 12:34 IST",Pallava Bagla,Magazine,From basket case to a global force,"While our scientists can certainly do better, they are not the monumental failures they are painted as."
16,"March 29, 2016 12:31 IST",Tabish Khair,Magazine,Ideological discrepancy,"Universities and corporations belong on different planets, says the writer, of the business-model of universities."
17,"March 29, 2016 12:34 IST",Sanjay Gupta,Magazine,Why teachers matter,How the RightToRead programme focusses on making teachers an integral part of the learning process.
18,"March 29, 2016 12:31 IST",Ramya Sarma,Magazine,When we make contact,"With the Breakthrough Listen project ready to take off, here’s looking at some pop-culture representations of the search for alien life."
19,"March 29, 2016 12:31 IST",Rini Mukkath,Magazine,Raw and revealing,The Savage Beauty exhibition at London’s V&A museum beautifully captures the artistic aesthetics of designer Alexander McQueen.
20,"March 29, 2016 12:34 IST",Baradwaj Rangan,Magazine,"A lover, a model and a nose","Remembering ‘jhankaar beats,’ the 1990s, and Aashiqui, which turned 25 this July."
21,"March 29, 2016 12:31 IST",Neeraj Mehta,Magazine,Summer 10,Fight the heat with these top 10 foods
22,"March 29, 2016 12:43 IST",Dr. Jalaja Ramaswamy,Magazine,Chocolates steal the show,Dark chocolate in moderation is actually good for you
